# Race ratings. Fill `rating` with: Safe D, Likely D, Lean D, Toss-up, Lean R, Likely R, Safe R
# (Tilt D / Tilt R and Solid D / Solid R are accepted). Leave blank rows blank. Delete sources you do not use.
# To activate: copy to data_store/manual/race_ratings_2026.csv
race_id,source,rating
H-MA-04,cook,
H-MA-04,sabato,
H-MA-04,inside,
H-MA-05,cook,
H-MA-05,sabato,
H-MA-05,inside,
H-MA-06,cook,
H-MA-06,sabato,
H-MA-06,inside,
H-MA-07,cook,
H-MA-07,sabato,
H-MA-07,inside,
H-MA-08,cook,
H-MA-08,sabato,
H-MA-08,inside,
H-MA-09,cook,
H-MA-09,sabato,
H-MA-09,inside,
H-MI-01,cook,
H-MI-01,sabato,
H-MI-01,inside,
H-MI-02,cook,
H-MI-02,sabato,
H-MI-02,inside,
H-MI-03,cook,
H-MI-03,sabato,
H-MI-03,inside,
H-MI-04,cook,
H-MI-04,sabato,
H-MI-04,inside,
H-MI-05,cook,
H-MI-05,sabato,
H-MI-05,inside,
H-MI-06,cook,
H-MI-06,sabato,
H-MI-06,inside,
H-MI-07,cook,
H-MI-07,sabato,
H-MI-07,inside,
H-MI-08,cook,
H-MI-08,sabato,
H-MI-08,inside,
H-MI-09,cook,
H-MI-09,sabato,
H-MI-09,inside,
H-MI-10,cook,
H-MI-10,sabato,
H-MI-10,inside,
H-MI-11,cook,
H-MI-11,sabato,
H-MI-11,inside,
H-MI-12,cook,
H-MI-12,sabato,
H-MI-12,inside,
H-MI-13,cook,
H-MI-13,sabato,
H-MI-13,inside,
H-MN-01,cook,
H-MN-01,sabato,
H-MN-01,inside,
H-MN-02,cook,
H-MN-02,sabato,
H-MN-02,inside,
H-MN-03,cook,
H-MN-03,sabato,
H-MN-03,inside,
H-MN-04,cook,
H-MN-04,sabato,
H-MN-04,inside,
H-MN-05,cook,
H-MN-05,sabato,
H-MN-05,inside,
H-MN-06,cook,
H-MN-06,sabato,
H-MN-06,inside,
H-MN-07,cook,
H-MN-07,sabato,
H-MN-07,inside,
H-MN-08,cook,
H-MN-08,sabato,
H-MN-08,inside,
H-MS-01,cook,
H-MS-01,sabato,
H-MS-01,inside,
H-MS-02,cook,
H-MS-02,sabato,
H-MS-02,inside,
H-MS-03,cook,
H-MS-03,sabato,
H-MS-03,inside,
H-MS-04,cook,
H-MS-04,sabato,
H-MS-04,inside,
H-MO-01,cook,
H-MO-01,sabato,
H-MO-01,inside,
H-MO-02,cook,
H-MO-02,sabato,
H-MO-02,inside,
H-MO-03,cook,
H-MO-03,sabato,
H-MO-03,inside,
H-MO-04,cook,
H-MO-04,sabato,
H-MO-04,inside,
H-MO-05,cook,
H-MO-05,sabato,
H-MO-05,inside,
H-MO-06,cook,
H-MO-06,sabato,
H-MO-06,inside,
H-MO-07,cook,
H-MO-07,sabato,
H-MO-07,inside,
H-MO-08,cook,
H-MO-08,sabato,
H-MO-08,inside,
H-MT-01,cook,
H-MT-01,sabato,
H-MT-01,inside,
H-MT-02,cook,
H-MT-02,sabato,
H-MT-02,inside,
H-NE-01,cook,
H-NE-01,sabato,
H-NE-01,inside,
H-NE-02,cook,
H-NE-02,sabato,
H-NE-02,inside,
H-NE-03,cook,
H-NE-03,sabato,
H-NE-03,inside,
H-NV-01,cook,
H-NV-01,sabato,
H-NV-01,inside,
H-NV-02,cook,
H-NV-02,sabato,
H-NV-02,inside,
H-NV-03,cook,
H-NV-03,sabato,
H-NV-03,inside,
H-NV-04,cook,
H-NV-04,sabato,
H-NV-04,inside,
H-NH-01,cook,
H-NH-01,sabato,
H-NH-01,inside,
H-NH-02,cook,
H-NH-02,sabato,
H-NH-02,inside,
H-NJ-01,cook,
H-NJ-01,sabato,
H-NJ-01,inside,
H-NJ-02,cook,
H-NJ-02,sabato,
H-NJ-02,inside,
H-NJ-03,cook,
H-NJ-03,sabato,
H-NJ-03,inside,
H-NJ-04,cook,
H-NJ-04,sabato,
H-NJ-04,inside,
H-NJ-05,cook,
H-NJ-05,sabato,
H-NJ-05,inside,
H-NJ-06,cook,
H-NJ-06,sabato,
H-NJ-06,inside,
H-NJ-07,cook,
H-NJ-07,sabato,
H-NJ-07,inside,
H-NJ-08,cook,
H-NJ-08,sabato,
H-NJ-08,inside,
H-NJ-09,cook,
H-NJ-09,sabato,
H-NJ-09,inside,
H-NJ-10,cook,
H-NJ-10,sabato,
H-NJ-10,inside,
H-NJ-11,cook,
H-NJ-11,sabato,
H-NJ-11,inside,
H-NJ-12,cook,
H-NJ-12,sabato,
H-NJ-12,inside,
H-NM-01,cook,
H-NM-01,sabato,
H-NM-01,inside,
H-NM-02,cook,
H-NM-02,sabato,
H-NM-02,inside,
H-NM-03,cook,
H-NM-03,sabato,
H-NM-03,inside,
H-NY-01,cook,
H-NY-01,sabato,
H-NY-01,inside,
H-NY-02,cook,
H-NY-02,sabato,
H-NY-02,inside,
H-NY-03,cook,
H-NY-03,sabato,
H-NY-03,inside,
H-NY-04,cook,
H-NY-04,sabato,
H-NY-04,inside,
H-NY-05,cook,
H-NY-05,sabato,
H-NY-05,inside,
H-NY-06,cook,
H-NY-06,sabato,
H-NY-06,inside,
H-NY-07,cook,
H-NY-07,sabato,
H-NY-07,inside,
H-NY-08,cook,
H-NY-08,sabato,
H-NY-08,inside,
H-NY-09,cook,
H-NY-09,sabato,
H-NY-09,inside,
H-NY-10,cook,
H-NY-10,sabato,
H-NY-10,inside,
H-NY-11,cook,
H-NY-11,sabato,
H-NY-11,inside,
H-NY-12,cook,
H-NY-12,sabato,
H-NY-12,inside,
H-NY-13,cook,
H-NY-13,sabato,
H-NY-13,inside,
H-NY-14,cook,
H-NY-14,sabato,
H-NY-14,inside,
H-NY-15,cook,
H-NY-15,sabato,
H-NY-15,inside,
H-NY-16,cook,
H-NY-16,sabato,
H-NY-16,inside,
H-NY-17,cook,
H-NY-17,sabato,
H-NY-17,inside,
H-NY-18,cook,
H-NY-18,sabato,
H-NY-18,inside,
H-NY-19,cook,
H-NY-19,sabato,
H-NY-19,inside,
H-NY-20,cook,
H-NY-20,sabato,
H-NY-20,inside,
H-NY-21,cook,
H-NY-21,sabato,
H-NY-21,inside,
H-NY-22,cook,
H-NY-22,sabato,
H-NY-22,inside,
H-NY-23,cook,
H-NY-23,sabato,
H-NY-23,inside,
H-NY-24,cook,
H-NY-24,sabato,
H-NY-24,inside,
H-NY-25,cook,
H-NY-25,sabato,
H-NY-25,inside,
H-NY-26,cook,
H-NY-26,sabato,
H-NY-26,inside,
H-NC-01,cook,
H-NC-01,sabato,
H-NC-01,inside,
H-NC-02,cook,
H-NC-02,sabato,
H-NC-02,inside,
H-NC-03,cook,
H-NC-03,sabato,
H-NC-03,inside,
H-NC-04,cook,
H-NC-04,sabato,
H-NC-04,inside,
H-NC-05,cook,
H-NC-05,sabato,
H-NC-05,inside,
H-NC-06,cook,
H-NC-06,sabato,
H-NC-06,inside,
H-NC-07,cook,
H-NC-07,sabato,
H-NC-07,inside,
H-NC-08,cook,
H-NC-08,sabato,
H-NC-08,inside,
H-NC-09,cook,
H-NC-09,sabato,
H-NC-09,inside,
H-NC-10,cook,
H-NC-10,sabato,
H-NC-10,inside,
H-NC-11,cook,
H-NC-11,sabato,
H-NC-11,inside,
H-NC-12,cook,
H-NC-12,sabato,
H-NC-12,inside,
H-NC-13,cook,
H-NC-13,sabato,
H-NC-13,inside,
H-NC-14,cook,
H-NC-14,sabato,
H-NC-14,inside,
H-ND-01,cook,
H-ND-01,sabato,
H-ND-01,inside,
H-OH-01,cook,
H-OH-01,sabato,
H-OH-01,inside,
H-OH-02,cook,
H-OH-02,sabato,
H-OH-02,inside,
H-OH-03,cook,
H-OH-03,sabato,
H-OH-03,inside,
H-OH-04,cook,
H-OH-04,sabato,
H-OH-04,inside,
H-OH-05,cook,
H-OH-05,sabato,
H-OH-05,inside,
H-OH-06,cook,
H-OH-06,sabato,
H-OH-06,inside,
H-OH-07,cook,
H-OH-07,sabato,
H-OH-07,inside,
H-OH-08,cook,
H-OH-08,sabato,
H-OH-08,inside,
H-OH-09,cook,
H-OH-09,sabato,
H-OH-09,inside,
H-OH-10,cook,
H-OH-10,sabato,
H-OH-10,inside,
H-OH-11,cook,
H-OH-11,sabato,
H-OH-11,inside,
H-OH-12,cook,
H-OH-12,sabato,
H-OH-12,inside,
H-OH-13,cook,
H-OH-13,sabato,
H-OH-13,inside,
H-OH-14,cook,
H-OH-14,sabato,
H-OH-14,inside,
H-OH-15,cook,
H-OH-15,sabato,
H-OH-15,inside,
H-OK-01,cook,
H-OK-01,sabato,
H-OK-01,inside,
H-OK-02,cook,
H-OK-02,sabato,
H-OK-02,inside,
H-OK-03,cook,
H-OK-03,sabato,
H-OK-03,inside,
H-OK-04,cook,
H-OK-04,sabato,
H-OK-04,inside,
H-OK-05,cook,
H-OK-05,sabato,
H-OK-05,inside,
H-OR-01,cook,
H-OR-01,sabato,
H-OR-01,inside,
H-OR-02,cook,
H-OR-02,sabato,
H-OR-02,inside,
H-OR-03,cook,
H-OR-03,sabato,
H-OR-03,inside,
H-OR-04,cook,
H-OR-04,sabato,
H-OR-04,inside,
H-OR-05,cook,
H-OR-05,sabato,
H-OR-05,inside,
H-OR-06,cook,
H-OR-06,sabato,
H-OR-06,inside,
H-PA-01,cook,
H-PA-01,sabato,
H-PA-01,inside,
H-PA-02,cook,
H-PA-02,sabato,
H-PA-02,inside,
H-PA-03,cook,
H-PA-03,sabato,
H-PA-03,inside,
H-PA-04,cook,
H-PA-04,sabato,
H-PA-04,inside,
H-PA-05,cook,
H-PA-05,sabato,
H-PA-05,inside,
H-PA-06,cook,
H-PA-06,sabato,
H-PA-06,inside,
H-PA-07,cook,
H-PA-07,sabato,
H-PA-07,inside,
H-PA-08,cook,
H-PA-08,sabato,
H-PA-08,inside,
H-PA-09,cook,
H-PA-09,sabato,
H-PA-09,inside,
H-PA-10,cook,
H-PA-10,sabato,
H-PA-10,inside,
H-PA-11,cook,
H-PA-11,sabato,
H-PA-11,inside,
H-PA-12,cook,
H-PA-12,sabato,
H-PA-12,inside,
H-PA-13,cook,
H-PA-13,sabato,
H-PA-13,inside,
H-PA-14,cook,
H-PA-14,sabato,
H-PA-14,inside,
H-PA-15,cook,
H-PA-15,sabato,
H-PA-15,inside,
H-PA-16,cook,
H-PA-16,sabato,
H-PA-16,inside,
H-PA-17,cook,
H-PA-17,sabato,
H-PA-17,inside,
H-RI-01,cook,
H-RI-01,sabato,
H-RI-01,inside,
H-RI-02,cook,
H-RI-02,sabato,
H-RI-02,inside,
H-SC-01,cook,
H-SC-01,sabato,
H-SC-01,inside,
H-SC-02,cook,
H-SC-02,sabato,
H-SC-02,inside,
H-SC-03,cook,
H-SC-03,sabato,
H-SC-03,inside,
H-SC-04,cook,
H-SC-04,sabato,
H-SC-04,inside,
H-SC-05,cook,
H-SC-05,sabato,
H-SC-05,inside,
H-SC-06,cook,
H-SC-06,sabato,
H-SC-06,inside,
H-SC-07,cook,
H-SC-07,sabato,
H-SC-07,inside,
H-SD-01,cook,
H-SD-01,sabato,
H-SD-01,inside,
H-TN-01,cook,
H-TN-01,sabato,
H-TN-01,inside,
H-TN-02,cook,
H-TN-02,sabato,
H-TN-02,inside,
H-TN-03,cook,
H-TN-03,sabato,
H-TN-03,inside,
H-TN-04,cook,
H-TN-04,sabato,
H-TN-04,inside,
H-TN-05,cook,
H-TN-05,sabato,
H-TN-05,inside,
H-TN-06,cook,
H-TN-06,sabato,
H-TN-06,inside,
H-TN-07,cook,
H-TN-07,sabato,
H-TN-07,inside,
H-TN-08,cook,
H-TN-08,sabato,
H-TN-08,inside,
H-TN-09,cook,
H-TN-09,sabato,
H-TN-09,inside,
H-TX-01,cook,
H-TX-01,sabato,
H-TX-01,inside,
H-TX-02,cook,
H-TX-02,sabato,
H-TX-02,inside,
H-TX-03,cook,
H-TX-03,sabato,
H-TX-03,inside,
H-TX-04,cook,
H-TX-04,sabato,
H-TX-04,inside,
H-TX-05,cook,
H-TX-05,sabato,
H-TX-05,inside,
H-TX-06,cook,
H-TX-06,sabato,
H-TX-06,inside,
H-TX-07,cook,
H-TX-07,sabato,
H-TX-07,inside,
H-TX-08,cook,
H-TX-08,sabato,
H-TX-08,inside,
H-TX-09,cook,
H-TX-09,sabato,
H-TX-09,inside,
H-TX-10,cook,
H-TX-10,sabato,
H-TX-10,inside,
H-TX-11,cook,
H-TX-11,sabato,
H-TX-11,inside,
H-TX-12,cook,
H-TX-12,sabato,
H-TX-12,inside,
H-TX-13,cook,
H-TX-13,sabato,
H-TX-13,inside,
H-TX-14,cook,
H-TX-14,sabato,
H-TX-14,inside,
H-TX-15,cook,
H-TX-15,sabato,
H-TX-15,inside,
H-TX-16,cook,
H-TX-16,sabato,
H-TX-16,inside,
H-TX-17,cook,
H-TX-17,sabato,
H-TX-17,inside,
H-TX-18,cook,
H-TX-18,sabato,
H-TX-18,inside,
H-TX-19,cook,
H-TX-19,sabato,
H-TX-19,inside,
H-TX-20,cook,
H-TX-20,sabato,
H-TX-20,inside,
H-TX-21,cook,
H-TX-21,sabato,
H-TX-21,inside,
H-TX-22,cook,
H-TX-22,sabato,
H-TX-22,inside,
H-TX-23,cook,
H-TX-23,sabato,
H-TX-23,inside,
H-TX-24,cook,
H-TX-24,sabato,
H-TX-24,inside,
H-TX-25,cook,
H-TX-25,sabato,
H-TX-25,inside,
H-TX-26,cook,
H-TX-26,sabato,
H-TX-26,inside,
H-TX-27,cook,
H-TX-27,sabato,
H-TX-27,inside,
H-TX-28,cook,
H-TX-28,sabato,
H-TX-28,inside,
H-TX-29,cook,
H-TX-29,sabato,
H-TX-29,inside,
H-TX-30,cook,
H-TX-30,sabato,
H-TX-30,inside,
H-TX-31,cook,
H-TX-31,sabato,
H-TX-31,inside,
H-TX-32,cook,
H-TX-32,sabato,
H-TX-32,inside,
H-TX-33,cook,
H-TX-33,sabato,
H-TX-33,inside,
H-TX-34,cook,
H-TX-34,sabato,
